"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 25 10:46:38 CST 2021","Sat Sep 25 10:47:15 CST 2021","36974","case.exchange.trade","test_navigation","TestTrade","","","test_navigate_to_trade_page[ATOM-CRO]",""
"passed","Sat Sep 25 10:45:58 CST 2021","Sat Sep 25 10:46:35 CST 2021","36980","case.exchange.trade","test_navigation","TestTrade","","","test_navigate_to_trade_page[CRO-USDC]",""
